Date,Open,High,Low,Close,Volume,Label
1997-11-20,1.58675782333952,1.6005213950000001,1.5729940000000002,1.5729940000000002,6825600,Hold
1997-11-21,1.5788924636773265,1.6005209999999999,1.5769260958230955,1.6005209999999999,7743200,Sell
1997-11-24,1.5690623846153846,1.5690623846153846,1.5258050256410256,1.53367,15057600,Hold
1997-11-25,1.5395690976388405,1.5808600936482529,1.5336702401065139,1.571029,11511200,Hold
1997-11-26,1.5690620000000004,1.576926972431078,1.555298424085173,1.5690620000000004,10286400,Hold
1997-11-28,1.5690614808473238,1.5710278491440433,1.531703,1.531703,5298400,Hold
1997-12-01,1.5395685944313098,1.5749609730196257,1.5395685944313098,1.5670959999999998,8693600,Hold
1997-12-02,1.571028700969119,1.5729948186528497,1.5159738823162694,1.51794,14576000,Hold
1997-12-03,1.5041765127140536,1.5179400923752726,1.482547706801756,1.508109,24898400,Hold
1997-12-04,1.510075025906736,1.5258049740932642,1.4963114470831087,1.51794,17211200,Hold
1997-12-05,1.5061424338624338,1.5140074074074072,1.48648,1.48648,23044800,Hold
1997-12-08,1.4943454641909815,1.4943454641909815,1.4786155119363396,1.482548,16957600,Hold
1997-12-09,1.4766489475010542,1.4845139212515814,1.4550201438475248,1.4609189999999999,17191200,Hold
1997-12-10,1.4609188825599997,1.4864799193548386,1.4609188825599997,1.4628849999999998,11036000,Hold
1997-12-11,1.4471554127423822,1.4491217823492963,1.401931931933784,1.4196280000000001,18121600,Hold
1997-12-12,1.417661431422791,1.4235600350100674,1.3842351721644854,1.397999,14348000,Hold
1997-12-15,1.4038976035872763,1.4274925212946254,1.3960326310181599,1.397999,13890400,Hold
1997-12-16,1.399965027932961,1.4589523184357542,1.399965027932961,1.4078300000000001,15252000,Hold
1997-12-17,1.399965004895309,1.4038974908641162,1.362606514031193,1.3665390000000002,13436000,Hold
1997-12-18,1.3873700625,1.4054663224336,1.286836,1.286836,20759200,Hold
1997-12-19,1.2466220249221183,1.290857,1.2144511339563862,1.290857,64632000,Hold
1997-12-22,1.274771278996865,1.2988994420062694,1.2707499184952977,1.282814,16414400,Hold
1997-12-23,1.2727612584912817,1.2747718108974357,1.2405903610553843,1.254665,17004800,Hold
